Hasil Pengelompokan ;;;;
;;;;
Cluster Berdasarkan Properti Trek Mood;Jumlah Anggota;Lagu;Track Name;Artist Name
C1;29;3;Running Up That Hill (A Deal With God);Kate Bush
;;4;Me Porto Bonito;Bad Bunny,Chencho Corleone
;;5;Tití Me Preguntó;Bad Bunny
;;6;Ojitos Lindos;Bad Bunny,Bomba Estéreo
;;7;Left and Right (Feat. Jung Kook of BTS);Charlie Puth,BTS,Jung Kook
;;8;Efecto;Bad Bunny
;;9;Moscow Mule;Bad Bunny
;;11;PROVENZA;KAROL G
;;13;BREAK MY SOUL;Beyoncé
;;15;About Damn Time;Lizzo
;;16;Party;Bad Bunny,Rauw Alejandro
;;18;Tarot;Bad Bunny,Jhay Cortez
;;19;Late Night Talking;Harry Styles
;;20;Bam Bam (feat. Ed Sheeran);Camila Cabello,Ed Sheeran
;;21;First Class;Jack Harlow
;;22;I Like You (A Happier Song) (with Doja Cat);Post Malone,Doja Cat
;;23;Cold Heart - PNAU Remix;Elton John,Dua Lipa,PNAU
;;28;One Kiss (with Dua Lipa);Calvin Harris,Dua Lipa
;;29;Después de la Playa;Bad Bunny
;;32;Until I Found You;Stephen Sanchez
;;33;Woman;Doja Cat
;;34;Una Noche en Medellín;Cris Mj
;;35;MAMIII;Becky G,KAROL G
;;36;Enemy (with JID) - from the series Arcane League of Legends;Imagine Dragons,JID,Arcane,League of Legends
;;37;WAIT FOR U (feat. Drake & Tems);Future,Drake,Tems
;;42;Where Are You Now;Lost Frequencies,Calum Scott
;;47;Sweater Weather;The Neighbourhood
;;48;Dandelions;Ruth B.
;;49;Another Love;Tom Odell
C2;11;2;Glimpse of Us;Joji
;;12;Jimmy Cooks (feat. 21 Savage);Drake,21 Savage
;;17;STAY (with Justin Bieber);The Kid LAROI,Justin Bieber
;;24;Yet To Come;BTS
;;25;MIDDLE OF THE NIGHT;Elley Duhé
;;26;Massive;Drake
;;27;I Ain't Worried;OneRepublic
;;31;Vegas (From the Original Motion Picture Soundtrack ELVIS);Doja Cat
;;41;INDUSTRY BABY (feat. Jack Harlow);Lil Nas X,Jack Harlow
;;45;Sunroof;Nicky Youre,dazy
;;46;Blinding Lights;The Weeknd
C3;10;1;As It Was;Harry Styles
;;10;Heat Waves;Glass Animals
;;14;Te Felicito;Shakira,Rauw Alejandro
;;30;Ghost;Justin Bieber
;;38;La Corriente;Bad Bunny,Tony Dize
;;39;Un Ratito;Bad Bunny
;;40;Shivers;Ed Sheeran
;;43;Desesperados;Rauw Alejandro,Chencho Corleone
;;44;ULTRA SOLO REMIX;Polimá Westcoast,Pailita,Feid,Paloma Mami,De La Ghetto
;;50;Watermelon Sugar;Harry Styles
